AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL
UA,489,N576UA,SFO,ORD,1352,257,1846,2009

US,1817,N179UW,ORD,CLT,1355,112,599,1647

US,1999,N117UW,ATL,CLT,1355,69,226,1504

US,2056,N127UW,JAX,CLT,1355,81,328,1516

UA,724,N215UA,HNL,SFO,1355,299,2398,2054

US,559,N938UW,MCO,CLT,1355,96,468,1531

AA,1185,N853AA,BOS,MIA,1355,217,1258,1732

AA,1694,N3CTAA,LGA,MIA,1355,199,1096,1714

US,744,N567UW,DFW,CLT,1359,143,936,1722

DL,2247,N901DA,LGA,ATL,1359,167,762,1646

AA,1294,N3GRAA,MIA,IAH,1400,177,964,1557

DL,1366,N6703D,ATL,SFO,1400,326,2139,1626

UA,1275,N37252,SAN,ORD,1405,247,1723,2012

AA,357,N3HAAA,MIA,BWI,1405,156,946,1641

AA,1137,N022AA,MIA,IAD,1405,152,921,1637

DL,2181,N333NW,LGA,MCO,1405,186,950,1711

AA,1599,N3EMAA,MIA,LGA,1410,179,1096,1709

AA,1621,N367AA,MIA,MCO,1410,67,192,1517

DL,61,N129DL,SFO,ATL,1410,269,2139,2139

UA,1445,N17719,STT,IAD,1414,260,1606,1734

US,1897,N534UW,LAS,CLT,1415,247,1916,2122

DL,2128,N817DN,MCO,DTW,1415,159,957,1654

DL,1923,N326US,LGA,MIA,1415,202,1096,1737

UA,401,N451UA,DEN,LAX,1416,155,862,1551

DL,1613,N935DN,IND,ATL,1419,98,432,1557

US,2017,N644AW,CLT,JFK,1420,106,541,1606

AA,305,N5EGAA,MIA,SFO,1420,379,2585,1739

AA,1451,N634AA,JFK,MIA,1420,201,1089,1741

UA,259,N838UA,IAH,IND,1426,136,844,1742

US,2045,N108UW,CLT,MSY,1430,122,651,1532

US,2118,N961UW,DCA,BOS,1430,82,399,1552

UA,1459,N67815,IAH,DEN,1430,151,862,1601

DL,676,N699DL,STT,JFK,1430,257,1623,1747

UA,545,N401UA,IAH,ORD,1432,165,925,1717

UA,1135,N66828,ORD,MCO,1432,164,1005,1816

AA,1210,N397AA,MCO,MIA,1435,69,192,1544

UA,317,N833UA,SFO,IND,1436,258,1943,2154

UA,293,N475UA,LAX,IAH,1438,193,1379,1951

US,2059,N835AW,CLT,MIA,1440,124,650,1644

AA,1658,N3FWAA,DCA,MIA,1440,164,919,1724

DL,1914,N350NA,LGA,DEN,1440,282,1620,1722

UA,277,N576UA,DEN,SFO,1445,172,967,1637

US,725,N172US,CLT,MCO,1445,99,468,1624

US,891,N153UW,CLT,DFW,1445,171,936,1636

US,1908,N538UW,LGA,CLT,1445,122,544,1647

UA,1030,N20904,DEN,IAH,1445,134,862,1759

DL,2543,N137DL,ATL,DTW,1445,124,594,1649

DL,105,N939DN,BOS,ATL,1445,184,946,1749

UA,1636,N77258,HNL,LAX,1446,338,2556,2224

US,863,N822AW,CLT,ATL,1450,76,226,1606

DL,1544,N329NW,MCO,ATL,1450,99,404,1629

US,1766,N721UW,CLT,DCA,1455,81,331,1616

UA,1024,N14231,SFO,IAD,1455,299,2419,2254

DL,392,N933AT,ATL,ORD,1455,129,606,1604

DL,897,N523US,ATL,MCO,1455,89,404,1624

DL,980,N994DL,ATL,BOS,1455,154,946,1729

DL,1107,N827DN,ATL,LAS,1455,279,1747,1634

DL,1342,N893AT,ATL,IAH,1455,139,689,1614

DL,2057,N962DL,ATL,MSY,1455,101,425,1536

AA,2285,N3EHAA,JFK,MCO,1459,175,944,1754

DL,221,N940DL,LGA,ATL,1500,169,762,1749

AA,1510,N7BSAA,MIA,JFK,1505,184,1089,1809

DL,1554,N6706Q,LAX,ATL,1505,249,1947,2214

DL,1860,N947DN,ATL,MIA,1505,117,594,1702

UA,983,N548UA,ORD,DEN,1510,166,888,1656

DL,1817,N941DN,ATL,DEN,1510,214,1199,1644

DL,758,N903DA,ATL,JAX,1512,67,270,1619

UA,1670,N73278,LAX,SFO,1513,79,337,1632

DL,674,N695DL,STT,ATL,1513,246,1599,1819

UA,1544,N33262,SFO,DEN,1514,153,967,1847

UA,304,N510UA,SFO,JFK,1515,326,2586,2341

UA,510,N502UA,JFK,SFO,1515,396,2586,1851

DL,925,N669DN,ATL,STT,1515,217,1599,1952

DL,1195,N896AT,ATL,IAD,1515,107,534,1702

DL,2040,N624AG,SFO,JFK,1515,319,2586,2334

DL,2199,N915DE,LGA,MCO,1515,194,950,1829

DL,2618,N339NB,MIA,LGA,1515,179,1096,1814

UA,471,N476UA,SAN,IAH,1516,181,1303,2017

UA,390,N802UA,SFO,LAX,1519,90,337,1649

UA,1230,N69818,MCO,IAH,1519,153,854,1652

UA,311,N841UA,MSY,IAH,1520,77,305,1637

UA,1194,N17229,LAX,DEN,1521,141,862,1842

UA,1180,N68805,SAN,DEN,1523,139,853,1842

DL,1116,N994AT,MDW,ATL,1524,115,591,1819

US,765,N745VJ,DTW,CLT,1525,111,500,1716

UA,1257,N36247,SFO,ANC,1528,298,2018,1926

DL,1982,N978DL,LGA,MIA,1529,213,1096,1902

US,889,N123UW,ATL,CLT,1530,74,226,1644

US,1893,N740UW,JAX,CLT,1530,82,328,1652

US,2052,N837AW,IND,CLT,1530,92,427,1702

AA,1246,N3HNAA,LGA,MIA,1530,207,1096,1857

DL,1145,N812DN,DTW,SFO,1530,319,2079,1749

UA,652,N427UA,DEN,IAD,1531,188,1452,2039

DL,447,N955DL,JFK,ATL,1532,165,760,1817

UA,745,N454UA,LGA,DEN,1534,280,1620,1814

UA,503,N535UA,BOS,SFO,1535,406,2704,1921

UA,1186,N38403,PDX,DEN,1535,152,991,1907

UA,453,N417UA,IAH,DEN,1537,152,862,1709

US,1769,N637AW,IAH,CLT,1540,141,912,1901

DL,1489,N970AT,IAH,ATL,1541,120,689,1841

UA,1538,N36447,MCO,IAD,1542,130,758,1752

UA,345,N829UA,IAH,LGA,1545,206,1416,2011

DL,856,N930DL,DTW,STL,1545,107,440,1632

DL,2107,N6714Q,DTW,SAN,1545,302,1956,1747

DL,2342,N916DN,JAX,ATL,1545,74,270,1659

DL,1786,N912DL,ATL,LGA,1545,134,762,1759

US,1781,N118US,LGA,CLT,1550,127,544,1757

DL,2248,N902DE,DTW,LGA,1550,109,502,1739

US,1783,N170US,DFW,CLT,1555,142,936,1917

DL,2256,N913DL,MCI,ATL,1555,119,692,1854

DL,1943,N144DA,ATL,MCO,1555,87,404,1722

UA,1225,N27213,HNL,LAX,1556,338,2556,2334

US,2032,N770UW,CLT,JAX,1559,75,328,1714

UA,735,N526UA,DEN,SFO,1600,159,967,1739

UA,746,N463UA,IAH,LAX,1600,227,1379,1747

US,463,N163US,ORD,CLT,1600,116,599,1856

DL,2056,N315NB,MCO,LGA,1600,151,950,1831

DL,2447,N911DL,LGA,ATL,1600,171,762,1851

DL,138,N942DL,MCO,DTW,1600,159,957,1839

DL,1288,N318US,DTW,IND,1601,71,231,1712

UA,1062,N73291,DCA,DEN,1603,249,1476,1812

UA,1253,N37471,LAX,IAD,1604,282,2288,2346

US,2024,N535UW,DEN,CLT,1605,181,1337,2106

AA,986,N5ENAA,STT,MIA,1605,181,1107,1806

AA,1483,N3JVAA,MIA,LGA,1605,176,1096,1901

DL,1899,N341NB,BNA,ATL,1605,69,214,1814

UA,379,N855UA,DFW,SFO,1607,239,1464,1806

UA,73,N67052,SFO,HNL,1610,334,2398,1944

US,761,N151UW,CLT,MIA,1610,122,650,1812

DL,1142,N919AT,HOU,ATL,1610,117,696,1907

US,1765,N816AW,CLT,MCI,1611,145,808,1736

DL,2363,N659DL,ATL,MCI,1611,136,692,1727

US,1885,N812AW,STL,CLT,1615,106,575,1901

US,2070,N915US,CLT,LGA,1615,107,544,1802

DL,491,N381DN,JFK,LAS,1615,361,2248,1916

DL,2299,N953AT,ATL,HOU,1615,142,696,1737

DL,2470,N368NW,ATL,MDW,1615,119,591,1714

AA,1621,N367AA,MCO,MIA,1617,72,192,1729

DL,1778,N926AT,ATL,MEM,1619,85,332,1644

DL,887,N823DN,ATL,PDX,1620,331,2172,1851

DL,1441,N355NB,ATL,CLT,1620,74,226,1734

DL,1810,N325US,ATL,DCA,1620,102,547,1802

DL,1812,N908DE,ATL,ORD,1620,127,606,1727

DL,2143,N822DN,ATL,LAS,1624,277,1747,1801

DL,81,N705DN,ATL,LAX,1625,309,1947,1834

DL,1564,N581NW,ATL,SAN,1625,294,1892,1819

UA,488,N811UA,SFO,LAX,1630,87,337,1757

DL,1058,N595NW,MCO,ATL,1630,101,404,1811

DL,74,N964DN,MIA,ATL,1630,124,594,1834

DL,1563,N3759,ATL,BNA,1631,68,214,1639

US,637,N183UW,CLT,LAS,1635,297,1916,1832

US,1821,N744P,CLT,DTW,1635,112,500,1827

US,1962,N126UW,CLT,BWI,1635,84,361,1759

US,2025,N563UW,CLT,MCO,1635,101,468,1816

UA,518,N459UA,ORD,PDX,1635,277,1739,1912

AA,1697,N023AA,STL,MIA,1635,161,1068,2016

AA,2206,N3FBAA,MIA,DCA,1635,152,919,1907

DL,1523,N676DL,BOS,DTW,1639,142,632,1901

AA,2227,N016AA,MIA,IAH,1640,182,964,1842

UA,1478,N77525,IAH,LGA,1643,209,1416,2112

US,760,N840AW,MIA,CLT,1645,131,650,1856

UA,1640,N26208,SFO,ORD,1645,249,1846,2254

AA,1324,N365AA,MIA,ORD,1645,211,1197,1916

AA,1156,N3GCAA,DFW,LGA,1645,194,1389,2059

DL,735,N935DN,ATL,DEN,1645,211,1199,1816

DL,2231,N939DL,LGA,DTW,1645,134,502,1859

UA,1585,N34455,MCO,ORD,1649,177,1005,1846

DL,1166,N943DL,ATL,DTW,1650,121,594,1851

UA,486,N442UA,SFO,LAS,1653,96,414,1829

DL,352,N314NB,ATL,MCO,1655,86,404,1821

UA,1288,N67815,DEN,IAH,1656,138,862,2014

US,1919,N644AW,JFK,CLT,1659,132,541,1911

DL,1764,N612DL,LGA,ATL,1659,175,762,1954

US,2043,N828AW,BOS,CLT,1700,144,728,1924

AA,2351,N5FGAA,JFK,MIA,1700,201,1089,2021

UA,1488,N76288,IAH,LAX,1701,228,1379,1849

US,1851,N913US,LGA,CLT,1705,126,544,1911

UA,449,N447UA,SAN,IAH,1705,181,1303,2206

UA,806,N482UA,IAD,BOS,1705,91,413,1836

AA,2205,N5BSAA,MIA,LAX,1705,361,2342,2006

AA,2312,N353AA,MIA,MCO,1705,74,192,1819

DL,2442,N920DN,DEN,ATL,1705,169,1199,2154

DL,1426,N940DN,ATL,STL,1706,105,484,1751

UA,1176,N38446,IAH,MIA,1707,142,964,2029

UA,1499,N79521,IAH,SFO,1708,259,1635,1927

UA,1265,N24715,IAH,IAD,1709,178,1190,2107

US,1871,N802AW,BWI,CLT,1715,89,361,1844

DL,1250,N988DL,DFW,ATL,1715,124,731,2019

UA,509,N402UA,LGA,DEN,1717,280,1620,1957

UA,249,N219UA,IAD,IAH,1720,201,1190,1941

US,475,N172US,MCO,CLT,1720,99,468,1859

UA,1741,N37434,IAD,MCO,1722,139,758,1941

DL,1130,N926AT,MEM,ATL,1724,87,332,1951

DL,1419,N922DL,ATL,JFK,1724,142,760,1946

US,1938,N713UW,DCA,CLT,1725,89,331,1854

UA,1084,N57870,IAD,LAX,1725,341,2288,2006

DL,2249,N960AT,ATL,IAH,1725,141,689,1846

DL,1924,N938DN,ATL,BWI,1725,109,577,1914

AA,357,N3HAAA,BWI,MIA,1726,166,946,2012

UA,1282,N16713,DCA,IAH,1728,214,1208,2002

AA,45,N3ELAA,JFK,LAS,1729,355,2248,2024

UA,535,N598UA,JFK,LAX,1730,376,2475,2046

AA,1407,N3BXAA,MIA,STX,1730,167,1139,2117

DL,897,N523US,MCO,ATL,1730,99,404,1909

DL,2547,N917DE,LGA,ATL,1730,167,762,2017

DL,1587,N991AT,ATL,MEM,1730,84,332,1754

DL,1725,N919DE,BWI,ATL,1730,124,577,1934

UA,1425,N69810,MIA,DEN,1733,273,1709,2006

UA,1261,N69824,IAH,DEN,1735,154,862,1909

DL,1140,N554NW,ATL,MSY,1735,99,425,1814

UA,1210,N38257,DEN,LGA,1736,216,1620,2312

DL,922,N896AT,IAD,ATL,1737,125,534,1942

US,808,N251AY,STT,CLT,1740,231,1520,2031

UA,377,N448UA,DEN,IAD,1741,191,1452,2252

UA,1122,N66803,DEN,MIA,1741,248,1709,2349

US,2094,N153UW,DFW,CLT,1745,142,936,2107

UA,490,N843UA,DEN,IAH,1745,139,862,2104

UA,1241,N76517,IAH,SFO,1745,262,1635,2007

DL,436,N703TW,JFK,SFO,1745,401,2586,2126

DL,2159,N551NW,JFK,MCO,1745,187,944,2052

DL,2520,N939DN,ATL,JAX,1745,67,270,1852

DL,241,N666DN,ATL,SFO,1745,326,2139,2011

UA,285,N445UA,IAH,SAN,1748,211,1303,1919

US,1750,N714US,CLT,DCA,1750,77,331,1907

US,1784,N520UW,CLT,BWI,1750,81,361,1911

DL,2055,N6705Y,ATL,LAX,1750,309,1947,1959

UA,209,N802UA,LAX,DEN,1751,140,862,2111

AA,60,N372AA,DFW,MIA,1754,160,1121,2134

US,1876,N833AW,DCA,MCO,1755,144,759,2019

US,2041,N708UW,CLT,ATL,1755,77,226,1912

US,2052,N837AW,CLT,PWM,1755,124,813,1959

US,2080,N770UW,JAX,CLT,1755,81,328,1916

DL,1151,N588NW,SFO,HNL,1755,342,2398,2137

UA,697,N845UA,LAS,SFO,1757,99,414,1936

DL,2532,N548US,BOS,LAX,1758,396,2611,2134

US,2190,N944UW,DCA,LGA,1800,84,214,1924

UA,692,N485UA,ORD,LGA,1800,137,733,2117

US,447,N580UW,ATL,CLT,1800,76,226,1916

DL,2139,N989DL,DCA,ATL,1800,124,547,2004

DL,54,N342NW,IAH,ATL,1801,115,689,2056

UA,1196,N13716,ORD,DTW,1802,80,235,2022

US,731,N830AW,CLT,MIA,1805,124,650,2009

UA,1175,N28478,MCO,LAX,1805,341,2218,2046

AA,238,N3GLAA,DCA,MIA,1805,164,919,2049

UA,1094,N17244,ORD,IAD,1809,115,589,2104

US,1720,N835AW,MIA,DTW,1810,187,1145,2117

US,470,N162UW,CLT,SAN,1810,316,2077,2026

UA,1136,N38454,ORD,SFO,1811,296,1846,2107

UA,1451,N66837,ORD,IAH,1814,173,925,2107

US,765,N745VJ,CLT,STL,1815,122,575,1917

DL,2015,N372DA,JFK,MSY,1815,224,1182,2059

DL,2300,N376DA,JFK,DTW,1815,136,509,2031

DL,2302,N954DL,JFK,MIA,1815,201,1089,2136

DL,2510,N915DL,JFK,ATL,1815,167,760,2102

UA,816,N528UA,SFO,ORD,1816,238,1846,2414

US,1733,N940UW,CLT,MCO,1820,101,468,2001

US,1998,N829AW,MSY,CLT,1820,109,651,2109

DL,1641,N925AT,ATL,DCA,1820,101,547,2001

US,864,N816AW,MCI,CLT,1825,126,808,2131

US,1787,N541UW,CLT,PDX,1825,347,2282,2112

US,1874,N741UW,MCO,DCA,1825,122,759,2027

US,2097,N523UW,CLT,DFW,1825,176,936,2021

UA,1269,N68452,IAD,SAN,1825,346,2253,2111

UA,212,N474UA,MIA,IAH,1827,172,964,2019

UA,248,N838UA,IND,IAH,1828,161,844,2009

UA,1204,N36444,IAH,SFO,1830,262,1635,2052

US,425,N181UW,JFK,CLT,1830,124,541,2034

AA,2427,N367AA,MIA,DFW,1830,199,1121,2049

UA,472,N826UA,ORD,MIA,1833,189,1197,2242

AA,69,N3HTAA,MIA,SFO,1835,386,2585,2201

UA,1508,N33294,LAS,IAH,1840,174,1222,2334

AA,2355,N5FLAA,MIA,STT,1840,161,1107,2221

UA,488,N811UA,LAX,IAH,1842,192,1379,2354

UA,1670,N36280,SFO,HNL,1843,341,2398,2224

US,1899,N702UW,MIA,IAH,1845,179,964,2044

UA,685,N436UA,ORD,SFO,1845,294,1846,2139

AA,2440,N634AA,MIA,BOS,1845,194,1258,2159

UA,1687,N75425,MCO,IAH,1848,154,854,2022

US,1781,N118US,CLT,MSY,1850,122,651,1952

UA,765,N548UA,DEN,LAX,1850,151,862,2021

UA,894,N487UA,IAD,LAX,1851,350,2288,2141

UA,1254,N37464,LAX,SFO,1851,85,337,2016

DL,1669,N583NW,ATL,MCO,1855,92,404,2027

AA,2237,N3CJAA,DCA,DFW,1859,210,1192,2129

US,890,N915US,LGA,CLT,1900,127,544,2107

UA,1503,N24702,IAH,IAD,1900,179,1190,2259

UA,505,N820UA,IAD,DEN,1901,245,1452,2106

UA,1057,N69835,DEN,PDX,1901,171,991,2052

UA,1172,N77066,DEN,SFO,1903,154,967,2037

DL,2024,N931DL,ATL,BWI,1905,111,577,2056

DL,2476,N931DN,ATL,MSY,1905,102,425,1947

DL,1846,N957AT,ATL,BNA,1905,71,214,1916

UA,1549,N66828,MCO,DEN,1906,245,1546,2111

DL,2489,N684DA,ATL,PDX,1909,335,2172,2144

UA,221,N805UA,IAH,BWI,1910,176,1235,2306

US,1788,N176UW,BOS,CLT,1910,147,728,2137

US,499,N151UW,MIA,CLT,1910,127,650,2117

DL,1120,N530US,ATL,ORD,1910,129,606,2019

DL,1281,N351NW,ATL,MIA,1910,116,594,2106

DL,2303,N3771K,JFK,PDX,1910,384,2454,2234

DL,2427,N395DN,LAX,LAS,1915,74,236,2029

UA,1564,N37462,SFO,ORD,1916,243,1846,2519

UA,741,N446UA,ORD,SFO,1917,287,1846,2204

US,892,N563UW,MCO,CLT,1920,99,468,2059

UA,1062,N73291,DEN,SAN,1920,144,853,2044

AA,2312,N353AA,MCO,MIA,1920,69,192,2029

DL,1638,N3751B,ATL,DCA,1920,104,547,2104

US,1774,N126UW,BWI,CLT,1925,84,361,2049

UA,738,N405UA,SFO,LAX,1926,83,337,2049

DL,2155,N690DL,ATL,LAX,1927,310,1947,2137

US,2128,N961UW,DCA,BOS,1930,82,399,2052

AA,2227,N016AA,IAH,MIA,1935,141,964,2256

DL,1370,N943DL,DTW,MIA,1936,190,1145,2246

UA,1411,N69804,ORD,DEN,1940,166,888,2126

DL,1309,N903DA,ATL,AUS,1940,157,813,2117

DL,2597,N942DL,DTW,CLT,1940,111,500,2131

UA,1591,N34455,ORD,LAX,1941,280,1744,2221

UA,457,N472UA,DEN,MSY,1942,157,1062,2319

UA,1121,N39423,ORD,MCO,1945,162,1005,2327

UA,1674,N76288,LAX,DEN,1945,139,862,2304

AA,1483,N3JVAA,LGA,MIA,1945,192,1096,2257

DL,791,N353NW,ATL,STL,1945,104,484,2029

DL,1513,N830DN,ATL,DTW,1945,121,594,2146

UA,1699,N72405,SFO,LAS,1948,96,414,2124

UA,1733,N33286,DEN,IAD,1949,190,1452,2459

AA,1257,N3JNAA,MIA,BWI,1950,156,946,2226

AA,1673,N5EJAA,MIA,DFW,1955,194,1121,2209

DL,1567,N695DL,ATL,SAN,1959,293,1892,2152

UA,354,N483UA,DEN,ORD,2000,139,888,2319

US,1921,N624AW,CLT,JAX,2000,77,328,2117

UA,583,N849UA,DFW,DEN,2000,131,641,2111

UA,1453,N67812,IAH,MSY,2000,69,305,2109

AA,1059,N3BEAA,MIA,MSY,2000,131,675,2111

AA,1414,N019AA,MIA,ATL,2000,121,594,2201

DL,496,N380DA,JFK,DEN,2000,282,1626,2242

US,1920,N939UW,CLT,BWI,2005,79,361,2124

US,475,N172US,CLT,SFO,2005,341,2296,2246

AA,145,N3JAAA,MIA,SAN,2005,339,2267,2244

AA,1625,N3GNAA,MIA,BOS,2005,191,1258,2316

DL,2645,N968DL,MIA,JFK,2010,176,1089,2306

US,747,N203UW,CLT,MCO,2015,97,468,2152

US,1851,N543UW,CLT,ORD,2015,124,599,2119

UA,565,N537UA,ORD,SFO,2016,283,1846,2259

US,447,N580UW,CLT,DEN,2020,224,1337,2204

AA,1134,N3ACAA,DFW,MIA,2035,156,1121,2411

DL,1980,N341NB,ATL,PWM,2035,144,1027,2259

UA,627,N429UA,ORD,PDX,2037,277,1739,2314

UA,515,N415UA,ORD,IAH,2041,166,925,2327

DL,1241,N937AT,ATL,HOU,2041,141,696,2202

DL,1535,N923DN,ATL,IND,2044,95,432,2219

DL,552,N678DL,ATL,MSY,2048,98,425,2126

UA,1144,N37466,ORD,LAS,2050,249,1514,2259

UA,1177,N69826,ORD,DEN,2052,162,888,2234

AA,1592,N3BUAA,ORD,BOS,2055,124,867,2359

DL,1469,N127DL,ATL,MCO,2055,89,404,2224

UA,1760,N76505,ORD,LAX,2058,276,1744,2334

AA,1147,N3CRAA,MIA,LAX,2100,357,2342,2357

AA,1295,N3EUAA,DCA,MIA,2100,157,919,2337

AA,2298,N3LTAA,MIA,LGA,2100,172,1096,2352

DL,427,N194DN,JFK,LAX,2100,391,2475,2431

US,1828,N830AW,MIA,CLT,2105,127,650,2312

UA,1099,N33203,IAH,DFW,2105,69,224,2214

UA,1687,N68823,IAH,SAN,2105,209,1303,2234

AA,1406,N3GEAA,MIA,JFK,2105,171,1089,2356

AA,2462,N015AA,MIA,STL,2105,171,1068,2256

UA,532,N839UA,ORD,BOS,2110,139,867,2429

AA,349,N3KVAA,ATL,MIA,2110,112,594,2302

UA,659,N496UA,IAH,DEN,2114,150,862,2244

UA,1504,N37290,IAH,LAS,2115,204,1222,2239

AA,113,N3GRAA,MIA,DEN,2115,269,1709,2344

AA,1574,N3JBAA,MIA,ORD,2115,189,1197,2324

AA,2487,N639AA,MCO,MIA,2115,62,192,2217

AA,916,N3HAAA,MIA,DCA,2115,146,919,2341

UA,571,N476UA,IAH,AUS,2116,56,140,2212

AA,2330,N023AA,MIA,IAD,2125,149,921,2354

US,759,N586UW,ORD,CLT,2135,114,599,2429

AA,1264,N642AA,MIA,MCO,2135,64,192,2239

AA,2254,N633AA,LAX,MIA,2140,292,2342,2932

DL,799,N612DL,ATL,SAN,2140,294,1892,2334

DL,753,N810DN,ATL,SFO,2144,325,2139,2409

UA,534,N779UA,HNL,LAX,2145,312,2556,2857

DL,1168,N3741S,LAX,MIA,2145,286,2342,2931

DL,2386,N3748Y,ATL,LGA,2145,131,762,2356

AA,10,N796AA,LAX,JFK,2150,309,2475,2959

DL,1290,N808DN,ATL,DTW,2150,114,594,2344

DL,1711,N338NW,ATL,DFW,2150,147,731,2317

UA,396,N211UA,HNL,SFO,2155,299,2398,2854

DL,942,N926DL,ATL,IAD,2155,104,534,2339

UA,1029,N37456,DEN,SAN,2200,144,853,2324

UA,1133,N69838,IAD,SFO,2200,369,2419,2509

AA,259,N3GFAA,LAS,MIA,2200,269,2174,2929

US,2087,N744P,CLT,LGA,2205,94,544,2339

UA,584,N514UA,LAX,IAD,2205,281,2288,2946

UA,1180,N66828,DEN,ORD,2206,140,888,2526

UA,352,N482UA,IAD,BOS,2207,90,413,2337

UA,260,N411UA,IAD,MCO,2209,135,758,2424

UA,399,N427UA,IAD,LAX,2210,352,2288,2502

US,892,N550UW,CLT,LAX,2210,317,2125,2427

US,1898,N112US,CLT,JFK,2210,101,541,2351

DL,1212,N582NW,HNL,LAX,2210,324,2556,2934

US,890,N915US,CLT,DFW,2215,164,936,2359

US,1749,N747UW,CLT,MEM,2215,104,511,2259

US,1805,N723UW,CLT,IAH,2215,159,912,2354

US,1916,N715UW,CLT,DCA,2215,72,331,2327

DL,2533,N3745B,LAX,BOS,2216,316,2611,3032

US,499,N151UW,CLT,DEN,2219,218,1337,2357

DL,883,N652DL,LAX,MCO,2225,277,2218,3002

US,1897,N534UW,CLT,ATL,2230,66,226,2336

US,1930,N541UW,PDX,CLT,2230,281,2282,3011

UA,1450,N68452,SAN,IAD,2230,279,2253,3009

UA,1567,N21723,SAN,ORD,2230,247,1723,2837

UA,1635,N36472,SFO,IAD,2230,311,2419,3041

AA,1042,N3ANAA,SAN,MIA,2230,279,2267,3009

DL,1702,N348NW,LAS,ATL,2230,221,1747,2911

UA,292,N478UA,SFO,MCO,2231,311,2446,3042

UA,599,N405UA,LAX,SFO,2235,84,337,2359

US,696,N524UW,LAX,CLT,2240,264,2125,3004

UA,522,N436UA,SFO,PDX,2240,107,550,2427

UA,1622,N68836,LAX,MCO,2240,284,2218,3024

DL,1220,N666DN,SFO,ATL,2240,266,2139,3006

DL,2497,N3734B,PDX,ATL,2241,265,2172,3006

US,579,N557UW,SAN,CLT,2245,256,2077,3001

UA,724,N467UA,SFO,LAX,2249,85,337,2414

DL,1802,N581NW,SAN,DTW,2250,259,1956,3009

UA,366,N509UA,LAX,ORD,2255,234,1744,2849

UA,1551,N77430,SFO,MSY,2255,244,1911,2859

DL,2223,N684DA,PDX,DTW,2255,246,1953,3001

US,431,N565UW,LAS,CLT,2259,242,1916,3001

DL,1262,N190DN,LAX,JFK,2300,311,2475,3111

DL,1383,N37700,SAN,ATL,2300,236,1892,2956

DL,2102,N821DN,LAS,ATL,2315,221,1747,2956

UA,400,N430UA,SFO,IAH,2320,221,1635,2901

UA,1614,N77258,LAX,IAH,2331,190,1379,2841

UA,1604,N36280,HNL,SFO,2339,315,2398,3054

UA,1104,N18223,ANC,DEN,2346,310,2405,3056

AA,2200,N3FJAA,MIA,MCO,2349,58,192,2447

UA,1205,N26210,LAX,IAH,2358,184,1379,2902

UA,1469,N57870,LAX,ORD,2359,233,1744,2952

UA,1638,N27477,SFO,ORD,2359,243,1846,3002

UA,6109,N27477,X12,X22,2359,243,1846,3002
